id,Localidad,Region,URI_Total,URI_Noche,URI_Tarde,URI_Dia,URI_IntervaloDiurno,URI_IntervaloTotal,URI_IntervaloNocturno,URI_IntervaloTarde,Fecha,Nombre,URI_Estacion,URI_Direccion,URI_DireccionEstacion,Ln,Le,Ld,Lt
4469,Malaga,Andalucia,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4469-LAEQ-T,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4469-LAEQ-N,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4469-LAEQ-E,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4469-LAEQ-D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/T,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,2015-06-30,Calle Andromeda 7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/urbanismo-infraestructuras/direccion-postal/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7/direccion-postal,61.0,65.8,62.7,68.6
4456,Malaga,Andalucia,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4456-LAEQ-T,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4456-LAEQ-N,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4456-LAEQ-E,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4456-LAEQ-D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/T,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,2015-06-29,Calle Andromeda 7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/urbanismo-infraestructuras/direccion-postal/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7/direccion-postal,61.5,64.0,62.4,68.4
4443,Malaga,Andalucia,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4443-LAEQ-T,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4443-LAEQ-N,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4443-LAEQ-E,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4443-LAEQ-D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/T,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,2015-06-28,Calle Andromeda 7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/urbanismo-infraestructuras/direccion-postal/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7/direccion-postal,62.9,63.8,60.1,69.2
4430,Malaga,Andalucia,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4430-LAEQ-T,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4430-LAEQ-N,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4430-LAEQ-E,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4430-LAEQ-D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/T,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,2015-06-27,Calle Andromeda 7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/urbanismo-infraestructuras/direccion-postal/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7/direccion-postal,64.4,64.9,61.7,70.6
4280,Malaga,Andalucia,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4280-LAEQ-T,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4280-LAEQ-N,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4280-LAEQ-E,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4280-LAEQ-D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/T,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,2015-06-25,Calle Andromeda 7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/urbanismo-infraestructuras/direccion-postal/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7/direccion-postal,63.2,67.4,63.8,70.1
4279,Malaga,Andalucia,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4279-LAEQ-T,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4279-LAEQ-N,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4279-LAEQ-E,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4279-LAEQ-D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/T,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,2015-06-24,Calle Andromeda 7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/urbanismo-infraestructuras/direccion-postal/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7/direccion-postal,60.8,65.7,63.3,68.5
4278,Malaga,Andalucia,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4278-LAEQ-T,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4278-LAEQ-N,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4278-LAEQ-E,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4278-LAEQ-D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/T,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,2015-06-23,Calle Andromeda 7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/urbanismo-infraestructuras/direccion-postal/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7/direccion-postal,59.6,64.0,62.4,67.2
4277,Malaga,Andalucia,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4277-LAEQ-T,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4277-LAEQ-N,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4277-LAEQ-E,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4277-LAEQ-D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/T,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,2015-06-22,Calle Andromeda 7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/urbanismo-infraestructuras/direccion-postal/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7/direccion-postal,58.9,63.6,63.9,67.0
4276,Malaga,Andalucia,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4276-LAEQ-T,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4276-LAEQ-N,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4276-LAEQ-E,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4276-LAEQ-D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/T,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,2015-06-21,Calle Andromeda 7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/urbanismo-infraestructuras/direccion-postal/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7/direccion-postal,60.9,65.9,61.1,68.3
4275,Malaga,Andalucia,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4275-LAEQ-T,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4275-LAEQ-N,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4275-LAEQ-E,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4275-LAEQ-D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/T,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,2015-06-20,Calle Andromeda 7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/urbanismo-infraestructuras/direccion-postal/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7/direccion-postal,64.7,66.4,63.1,71.2
4274,Malaga,Andalucia,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4274-LAEQ-T,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4274-LAEQ-N,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4274-LAEQ-E,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4274-LAEQ-D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/T,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,2015-06-19,Calle Andromeda 7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/urbanismo-infraestructuras/direccion-postal/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7/direccion-postal,64.7,68.7,63.1,71.7
4273,Malaga,Andalucia,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4273-LAEQ-T,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4273-LAEQ-N,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4273-LAEQ-E,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4273-LAEQ-D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/T,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,2015-06-18,Calle Andromeda 7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/urbanismo-infraestructuras/direccion-postal/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7/direccion-postal,61.3,65.9,63.8,68.9
4272,Malaga,Andalucia,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4272-LAEQ-T,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4272-LAEQ-N,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4272-LAEQ-E,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4272-LAEQ-D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/T,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,2015-06-17,Calle Andromeda 7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/urbanismo-infraestructuras/direccion-postal/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7/direccion-postal,58.4,63.9,62.5,66.5
4271,Malaga,Andalucia,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4271-LAEQ-T,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4271-LAEQ-N,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4271-LAEQ-E,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4271-LAEQ-D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/T,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,2015-06-16,Calle Andromeda 7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/urbanismo-infraestructuras/direccion-postal/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7/direccion-postal,60.2,64.3,62.1,67.6
4270,Malaga,Andalucia,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4270-LAEQ-T,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4270-LAEQ-N,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4270-LAEQ-E,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4270-LAEQ-D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/T,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,2015-06-15,Calle Andromeda 7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/urbanismo-infraestructuras/direccion-postal/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7/direccion-postal,56.9,64.9,63.6,66.4
4269,Malaga,Andalucia,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4269-LAEQ-T,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4269-LAEQ-N,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4269-LAEQ-E,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4269-LAEQ-D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/T,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,2015-06-14,Calle Andromeda 7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/urbanismo-infraestructuras/direccion-postal/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7/direccion-postal,59.5,64.9,61.6,67.2
4268,Malaga,Andalucia,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4268-LAEQ-T,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4268-LAEQ-N,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4268-LAEQ-E,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4268-LAEQ-D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/T,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,2015-06-13,Calle Andromeda 7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/urbanismo-infraestructuras/direccion-postal/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7/direccion-postal,64.2,65.4,62.2,70.6
4267,Malaga,Andalucia,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4267-LAEQ-T,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4267-LAEQ-N,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4267-LAEQ-E,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4267-LAEQ-D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/T,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,2015-06-12,Calle Andromeda 7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/urbanismo-infraestructuras/direccion-postal/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7/direccion-postal,66.8,67.3,64.3,73.1
4266,Malaga,Andalucia,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4266-LAEQ-T,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4266-LAEQ-N,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4266-LAEQ-E,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4266-LAEQ-D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/T,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,2015-06-11,Calle Andromeda 7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/urbanismo-infraestructuras/direccion-postal/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7/direccion-postal,63.5,67.5,63.7,70.7
4265,Malaga,Andalucia,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4265-LAEQ-T,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4265-LAEQ-N,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4265-LAEQ-E,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/observacion/4265-LAEQ-D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/T,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,2015-06-10,Calle Andromeda 7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/urbanismo-infraestructuras/direccion-postal/calle-andromeda-7,http://datos.linkeddata.es/malaga/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/calle-andromeda-7/direccion-postal,59.9,66.4,65.6,68.7
